name,platform,release_era,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Valhalla Knights 2,PSP,post-2010,Role-Playing,Others,0.09,0.0,0.12,0.01,0.23,50.0,13.0,5.4,13.0,Others,E10+
Deca Sports 3,Wii,post-2010,Sports,Others,0.14,0.07,0.0,0.02,0.23,41.0,7.0,5.833333333333333,22.0,Others,E
Tetris Attack,Others,pre_2000s,Puzzle,Nintendo,0.0,0.0,0.23,0.0,0.23,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Spec Ops: The Line,PC,post-2010,Shooter,Others,0.11,0.09,0.0,0.02,0.23,76.0,16.0,8.2,1237.0,Others,M
Saint Seiya: Sanctuary Battle,PS3,post-2010,Action,Namco Bandai Games,0.0,0.09,0.11,0.02,0.23,62.0,14.0,7.3,34.0,Others,missing
NBA ShootOut 2003,PS2,post-2010,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,62.0,22.0,5.9,8.0,Others,E
Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,pre_2000s,Fighting,Others,0.0,0.0,0.21,0.01,0.23,83.0,13.333333333333334,8.5,193.0,missing,missing
Big Beach Sports 2,Wii,post-2010,Sports,THQ,0.09,0.11,0.0,0.02,0.23,68.96767850559173,26.360820941378886,7.125046113306982,162.22990777338603,Others,E
Digimon World DS (JP sales),DS,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,86.66666666666667,63.0,8.5,803.6666666666666,missing,missing
NHL FaceOff 2003,PS2,post-2010,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,55.0,20.0,7.833333333333333,33.666666666666664,Others,E
Jersey Devil,PS,pre_2000s,Platform,Others,0.13,0.09,0.0,0.01,0.23,91.0,16.333333333333332,9.0,1527.0,missing,missing
Need For Speed: Undercover,DS,post-2010,Racing,Electronic Arts,0.18,0.03,0.0,0.02,0.23,59.0,7.0,6.7,6.0,Others,E10+
Guitar Hero Live,X360,post-2010,Misc,Activision,0.13,0.08,0.0,0.02,0.23,67.0,9.666666666666666,5.5,19.0,Others,T
Rogue Ops,PS2,post-2010,Action,Others,0.11,0.09,0.0,0.03,0.23,61.0,26.0,9.2,6.0,Others,M
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,post-2010,Sports,Sega,0.08,0.12,0.0,0.02,0.23,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
3rd Super Robot Wars Z Jigoku Hen,PS3,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,84.33333333333333,80.33333333333333,6.433333333333334,2833.3333333333335,missing,missing
Killer is Dead,PS3,post-2010,Action,Others,0.12,0.03,0.05,0.03,0.23,64.0,39.0,7.9,215.0,Others,M
F1 2014,X360,post-2010,Racing,Others,0.08,0.13,0.0,0.02,0.23,64.0,14.0,4.1,20.0,Others,E
New Carnival Games,DS,post-2010,Misc,Others,0.16,0.05,0.0,0.02,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Others,E
Legion: The Legend of Excalibur,PS2,post-2010,Action,Others,0.11,0.09,0.0,0.03,0.22,51.0,21.0,7.0,6.0,Others,M
Puzzle & Dragons X: God Chapter / Dragon Chapter,Others,post-2010,Action,Others,0.0,0.0,0.22,0.0,0.22,86.0,72.66666666666667,6.633333333333333,3227.0,missing,missing
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,post-2010,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
TNA iMPACT!,PS2,post-2010,Fighting,Others,0.1,0.0,0.0,0.12,0.22,91.0,80.0,8.366666666666667,1774.0,missing,missing
LEGO Jurassic World,Others,post-2010,Action,Others,0.05,0.13,0.0,0.05,0.22,67.0,9.666666666666666,7.6,11.0,Others,E10+
Def Jam: Fight for NY,Others,post-2010,Fighting,Electronic Arts,0.17,0.05,0.0,0.01,0.22,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
Sword Art Online: Infinity Moment,PSP,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,missing,missing
Spartan: Total Warrior,PS2,post-2010,Action,Sega,0.11,0.09,0.0,0.03,0.22,74.0,33.0,8.4,65.0,Others,M
EX Monopoly,Others,post-2010,Misc,Others,0.16,0.06,0.0,0.0,0.22,93.66666666666667,49.0,8.766666666666666,762.6666666666666,missing,missing
Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,post-2010,Sports,Others,0.21,0.0,0.0,0.02,0.22,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
64 de Hakken! Tamagotchi Minna de Tamagotchi World,Others,pre_2000s,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,91.0,16.333333333333332,9.0,1527.0,missing,missing
Family Party: 30 Great Games Winter Fun,Wii,post-2010,Sports,Others,0.21,0.0,0.0,0.01,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Others,E
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,Others,post-2010,Misc,Others,0.17,0.04,0.0,0.01,0.22,77.66666666666667,31.666666666666668,7.8999999999999995,97.66666666666667,missing,missing
Deadly Duck,Others,pre_2000s,Shooter,Others,0.21,0.01,0.0,0.0,0.22,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Assault,Others,pre_2000s,Action,Others,0.21,0.01,0.0,0.0,0.22,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Reactor,Others,pre_2000s,Action,Others,0.21,0.01,0.0,0.0,0.22,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Gundam Battle Chronicle,PSP,post-2010,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Zumba Fitness: World Party,Wii,post-2010,Misc,Others,0.11,0.1,0.0,0.02,0.22,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,Others,E
Danball Senki Boost,PSP,post-2010,Action,Others,0.0,0.0,0.22,0.0,0.22,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Justice League Heroes,PSP,post-2010,Role-Playing,Others,0.2,0.01,0.0,0.02,0.22,72.0,13.0,7.8,5.0,Others,T
101-in-1 Party Megamix Wii,Wii,post-2010,Misc,Others,0.19,0.01,0.0,0.02,0.22,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Conflict: Vietnam,XB,post-2010,Shooter,Others,0.17,0.05,0.0,0.01,0.22,60.0,40.0,7.3,9.0,Others,M
Hatsune Miku: Project Mirai 2,Others,post-2010,Action,Sega,0.0,0.0,0.22,0.0,0.22,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,missing,missing
Whirl Tour,PS2,post-2010,Sports,Others,0.11,0.09,0.0,0.03,0.22,58.0,9.0,7.0,5.0,Others,E
Time Crisis: Crisis Zone,PS2,post-2010,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03,0.22,66.0,38.0,7.966666666666666,10.0,Others,T
Momotarou Dentetsu 15,PS2,post-2010,Misc,Others,0.0,0.0,0.22,0.0,0.22,88.33333333333333,62.0,8.299999999999999,385.6666666666667,missing,missing
Ben 10 Ultimate Alien: Cosmic Destruction,PS2,post-2010,Platform,Others,0.13,0.06,0.0,0.04,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Others,E10+
NBA Street: Showdown,PSP,post-2010,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,75.0,25.0,8.5,15.0,EA Canada,E
We Sing Pop!,Wii,post-2010,Misc,Others,0.05,0.15,0.0,0.02,0.22,81.33333333333333,54.666666666666664,5.766666666666667,1200.6666666666667,missing,missing
pro evolution soccer 2011,Wii,post-2010,Sports,Konami Digital Entertainment,0.07,0.1,0.03,0.02,0.22,78.0,9.0,5.4,7.0,Konami,E
Skies of Arcadia Legends,Others,post-2010,Role-Playing,Others,0.17,0.04,0.0,0.01,0.22,84.0,31.0,9.2,95.0,Others,T
MotoGP 08,PS2,post-2010,Racing,Others,0.01,0.0,0.0,0.21,0.22,91.0,80.0,8.366666666666667,1774.0,Others,E
Sengoku Basara 3 Utage,PS3,post-2010,Action,Others,0.0,0.0,0.22,0.0,0.22,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Breath of Fire,Others,post-2010,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0,0.22,79.0,17.0,8.8,9.0,Capcom,E
Last Window: The Secret of Cape West,DS,post-2010,Adventure,Nintendo,0.0,0.11,0.09,0.02,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
Risen 2: Dark Waters,PC,post-2010,Role-Playing,Others,0.0,0.19,0.0,0.03,0.22,69.0,51.0,5.6,751.0,Others,M
Petz Monkeyz House,DS,post-2010,Simulation,Ubisoft,0.2,0.0,0.0,0.02,0.22,91.0,80.0,8.366666666666667,1774.0,Ubisoft,E
Ford vs. Chevy,PS2,post-2010,Racing,Others,0.11,0.09,0.0,0.03,0.22,72.66666666666667,20.666666666666668,8.0,5.0,Others,E
LEGO The Hobbit,Others,post-2010,Action,Others,0.09,0.11,0.0,0.02,0.22,58.666666666666664,4.666666666666667,7.8,11.0,Others,E10+
Darksiders II,Others,post-2010,Action,Others,0.09,0.1,0.0,0.04,0.22,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
NCAA Football 2005,Others,post-2010,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22,88.0,18.0,9.0,5.0,EA Sports,E
Hamtaro: Ham-Ham Games,Others,post-2010,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22,77.0,20.0,7.8,6.0,Others,E
Danny Phantom: The Ultimate Enemy,Others,post-2010,Action,THQ,0.16,0.06,0.0,0.0,0.22,72.66666666666667,20.666666666666668,8.8,4.0,Others,E
Cloudy With a Chance of Meatballs,DS,post-2010,Platform,Ubisoft,0.2,0.01,0.0,0.02,0.22,82.33333333333333,62.0,7.933333333333333,279.3333333333333,Ubisoft,E
Soul Sacrifice Delta,Others,post-2010,Action,Sony Computer Entertainment,0.0,0.08,0.12,0.02,0.22,82.0,24.0,8.4,125.0,Others,M
Crazy Climber,Others,pre_2000s,Action,Others,0.21,0.01,0.0,0.0,0.22,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
NASCAR 2011: The Game,Wii,post-2010,Racing,Activision,0.21,0.0,0.0,0.01,0.22,42.0,5.0,3.1,9.0,Others,E
Super Adventure Island,Others,pre_2000s,Platform,Others,0.0,0.0,0.22,0.0,0.22,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
Discovery Kids: Dolphin Discovery,DS,post-2010,Simulation,Others,0.2,0.0,0.0,0.01,0.22,91.0,80.0,8.366666666666667,1774.0,Others,E
Spider-Man: Edge of Time,PS3,post-2010,Action,Activision,0.13,0.07,0.0,0.03,0.22,58.0,43.0,7.2,29.0,Others,T
Bust-A-Move 4,PS,pre_2000s,Puzzle,Others,0.12,0.08,0.0,0.01,0.22,83.0,13.333333333333334,8.5,193.0,missing,missing
Ride,Others,post-2010,Racing,Others,0.04,0.13,0.03,0.03,0.22,66.0,30.0,7.0,47.0,Others,E
NFL Quarterback Club 97,PS,pre_2000s,Sports,Others,0.12,0.08,0.0,0.01,0.22,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Spirit Camera: The Cursed Memoir,Others,post-2010,Adventure,Nintendo,0.13,0.02,0.06,0.01,0.22,54.0,35.0,6.1,28.0,Others,T
Yu-Gi-Oh! GX: Tag Force 3,PSP,post-2010,Strategy,Konami Digital Entertainment,0.0,0.03,0.18,0.01,0.22,91.0,80.0,8.366666666666667,1774.0,missing,missing
Galactic Wrestling: Featuring Ultimate Muscle,PS2,post-2010,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,61.0,12.0,8.0,5.0,Others,T
FaceBreaker K.O. Party,Wii,post-2010,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22,61.0,15.0,5.6,7.0,EA Canada,T
Dino Stalker,PS2,post-2010,Shooter,Others,0.07,0.06,0.08,0.02,0.22,50.0,18.0,6.3,8.0,Capcom,M
Mobile Suit Gundam Seed,PS2,post-2010,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,77.66666666666667,31.666666666666668,7.8999999999999995,97.66666666666667,missing,missing
Rock Band Track Pack: Classic Rock,Wii,post-2010,Misc,Others,0.21,0.0,0.0,0.02,0.22,82.33333333333333,62.0,7.933333333333333,279.3333333333333,Others,T
Petz Rescue: Endangered Paradise,DS,post-2010,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22,91.0,80.0,8.366666666666667,1774.0,Others,E
Rapala's Fishing Frenzy,Wii,post-2010,Sports,Activision,0.2,0.0,0.0,0.02,0.22,61.0,5.0,8.200000000000001,22.0,Others,E
Mega Man Zero 3,Others,post-2010,Platform,Others,0.16,0.06,0.0,0.0,0.22,77.0,21.0,9.0,22.0,Others,E
Super Swing Golf,Wii,post-2010,Sports,Nintendo,0.14,0.01,0.07,0.01,0.22,72.0,44.0,7.8,15.0,Others,E10+
G-Force,PS3,post-2010,Action,Others,0.13,0.06,0.0,0.03,0.22,68.0,22.0,7.6,7.0,Others,E10+
Luminous Arc 2,DS,post-2010,Role-Playing,Others,0.2,0.0,0.0,0.02,0.22,73.0,19.0,7.7,14.0,Others,T
Barbie Super Sports,PS,pre_2000s,Sports,Others,0.12,0.08,0.0,0.01,0.22,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Shinobi,Others,post-2010,Platform,Sega,0.14,0.07,0.0,0.02,0.22,69.0,33.0,7.3,33.0,Others,T
Nicktoons Collection: Game Boy Advance Video Volume 2,Others,post-2010,Misc,Others,0.16,0.06,0.0,0.0,0.22,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
Tony Hawk's Downhill Jam,DS,post-2010,Sports,Activision,0.2,0.0,0.0,0.02,0.22,76.0,34.0,7.0,7.0,Others,E
Risen 2: Dark Waters,PS3,post-2010,Role-Playing,Others,0.04,0.13,0.01,0.04,0.22,47.0,13.0,5.2,37.0,Others,M
Age of Empires: The Age of Kings,DS,post-2010,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80.0,38.0,7.9,59.0,Others,E10+
Duel Masters: Kaijudo Showdown,Others,post-2010,Misc,Others,0.16,0.06,0.0,0.0,0.22,66.0,10.0,7.566666666666666,7.0,Others,E
Muramasa: The Demon Blade,Others,post-2010,Role-Playing,Others,0.1,0.0,0.1,0.02,0.22,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,missing,missing
MotoGP 09/10,PS3,post-2010,Racing,Others,0.05,0.13,0.0,0.04,0.22,70.0,42.0,5.4,28.0,Others,E
The Lord of the Rings: The Third Age,Others,post-2010,Role-Playing,Electronic Arts,0.16,0.06,0.0,0.0,0.22,67.0,7.0,8.5,12.0,Others,T
Dinosaur King,DS,post-2010,Strategy,Sega,0.2,0.0,0.0,0.02,0.22,61.0,13.0,8.0,9.0,Others,E
The Suffering,XB,post-2010,Action,Others,0.16,0.05,0.0,0.01,0.22,77.0,44.0,8.8,23.0,Others,M
Pitfall: The Big Adventure,Wii,post-2010,Adventure,Activision,0.19,0.02,0.0,0.02,0.22,58.666666666666664,11.666666666666666,6.3,6.0,Others,E
Tetris Worlds,Others,post-2010,Puzzle,THQ,0.17,0.04,0.0,0.01,0.22,47.0,10.0,5.6,8.0,Others,E
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),Others,pre_2000s,Sports,Others,0.0,0.0,0.22,0.0,0.22,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Mega Man 64,Others,2000-2010,Action,Others,0.14,0.03,0.05,0.0,0.22,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
Rampage 2: Universal Tour,Others,pre_2000s,Action,Others,0.18,0.04,0.0,0.0,0.22,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Ms. Pac-Man: Maze Madness,Others,2000-2010,Puzzle,Namco Bandai Games,0.18,0.04,0.0,0.0,0.22,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
ECW Hardcore Revolution,Others,2000-2010,Fighting,Others,0.18,0.04,0.0,0.0,0.22,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
The Sims 4: Get Together,PC,post-2010,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,16.0,7.3,117.0,Others,T
Tales of Graces,Wii,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Viewtiful Joe 2,Others,post-2010,Action,Others,0.17,0.04,0.0,0.01,0.22,86.0,39.0,8.3,19.0,Others,T
Neopets Puzzle Adventure,Wii,post-2010,Puzzle,Others,0.18,0.02,0.0,0.02,0.22,52.0,11.0,8.200000000000001,22.0,Others,E
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,post-2010,Misc,Others,0.11,0.08,0.0,0.03,0.22,91.66666666666667,50.666666666666664,8.6,434.6666666666667,missing,missing
LEGO Harry Potter: Years 5-7,PC,post-2010,Action,Others,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Others,E10+
Child of Eden,PS3,post-2010,Shooter,Ubisoft,0.09,0.1,0.0,0.04,0.22,81.0,21.0,7.8,25.0,Others,E10+
All Star Karate,Wii,post-2010,Action,THQ,0.13,0.07,0.0,0.02,0.22,46.0,4.0,5.833333333333333,22.0,Others,E10+
Dragon Ball: Origins (JP & incomplete US sales),DS,post-2010,Adventure,Others,0.04,0.0,0.17,0.0,0.22,91.0,80.0,8.366666666666667,1774.0,missing,missing
NBA Jam Extreme,PS,pre_2000s,Sports,Others,0.12,0.08,0.0,0.01,0.22,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Naruto Shippuden: Ninja Council 4,DS,post-2010,Action,Nintendo,0.08,0.0,0.13,0.01,0.22,49.0,10.0,8.0,5.333333333333333,Others,E10+
Touch the Dead,DS,post-2010,Shooter,Others,0.2,0.0,0.0,0.02,0.22,56.0,31.0,5.6,5.0,Others,M
Worms: Battle Islands,Wii,post-2010,Strategy,THQ,0.1,0.1,0.0,0.02,0.22,58.0,13.0,5.833333333333333,22.0,Others,E10+
Nickelodeon Party Blast,XB,post-2010,Misc,Others,0.16,0.05,0.0,0.01,0.22,19.0,4.0,4.3,7.0,Others,E
Jackass the Game,PSP,post-2010,Action,Others,0.09,0.08,0.0,0.05,0.22,58.0,21.0,7.0,12.0,Others,M
Ragnarok DS,DS,post-2010,Role-Playing,Others,0.1,0.0,0.11,0.01,0.22,53.0,19.0,5.8,17.0,Others,E10+
NHL Championship 2000,PS,pre_2000s,Sports,Others,0.12,0.08,0.0,0.01,0.22,83.0,13.333333333333334,8.5,193.0,missing,missing
ATV Quad Kings,Wii,post-2010,Racing,Others,0.2,0.0,0.0,0.01,0.22,33.0,4.0,7.699999999999999,8.333333333333334,Others,E
Shellshock: Nam '67,XB,post-2010,Shooter,Others,0.16,0.05,0.0,0.01,0.22,58.0,37.0,7.0,14.0,Others,M
Ultimate Band,DS,post-2010,Misc,Others,0.19,0.02,0.0,0.02,0.22,69.0,11.0,8.200000000000001,22.0,Others,E
Kartia: The Word of Fate,PS,pre_2000s,Strategy,Konami Digital Entertainment,0.05,0.03,0.12,0.01,0.22,83.0,13.333333333333334,8.5,193.0,missing,missing
Karaoke Revolution Glee 2: Road to Regionals,Wii,post-2010,Misc,Konami Digital Entertainment,0.14,0.06,0.0,0.02,0.22,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Magna Carta: Tears of Blood,PS2,post-2010,Role-Playing,Others,0.11,0.08,0.0,0.03,0.22,66.0,34.0,7.0,22.0,Others,T
All-Star Baseball 2002,Others,post-2010,Sports,Others,0.17,0.04,0.0,0.01,0.22,66.0,17.0,5.6,9.0,Others,E
Lethal Skies Elite Pilot: Team SW,PS2,post-2010,Simulation,Others,0.11,0.08,0.0,0.03,0.22,59.0,16.0,7.133333333333334,6.333333333333333,Others,E
Capcom vs. SNK,Others,2000-2010,Fighting,Others,0.0,0.0,0.22,0.0,0.22,80.0,17.0,9.0,24.0,Capcom,T
Pinball Hall of Fame: The Williams Collection,PS3,post-2010,Misc,Others,0.2,0.0,0.0,0.02,0.22,82.0,16.0,7.9,8.0,Others,E10+
Aliens vs Predator: Requiem,PSP,post-2010,Action,Others,0.03,0.12,0.0,0.07,0.22,49.0,34.0,5.6,19.0,Others,T
Dishonored 2,Others,post-2010,Action,Others,0.12,0.08,0.0,0.02,0.22,88.0,22.0,6.8,156.0,Others,M
Asphalt: Injection,Others,post-2010,Action,Ubisoft,0.13,0.06,0.0,0.03,0.22,49.0,33.0,4.8,28.0,Ubisoft,E10+
Tamagotchi no KiraKira Omisecchi,DS,post-2010,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,91.0,80.0,8.366666666666667,1774.0,missing,missing
From Russia With Love,Others,post-2010,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22,70.0,20.0,8.5,13.0,Electronic Arts,T
Family Fest presents: Movie Games,Wii,post-2010,Action,Ubisoft,0.2,0.01,0.0,0.02,0.22,91.0,80.0,8.366666666666667,1774.0,Others,E10+
Guitar Hero: Smash Hits,PS2,post-2010,Misc,Activision,0.11,0.01,0.0,0.1,0.22,69.0,6.0,8.3,6.0,Others,T
NBA Live 09 All-Play,Wii,post-2010,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22,51.0,11.0,5.9,14.0,EA Sports,E
NFL Quarterback Club 2002,PS2,post-2010,Sports,Others,0.11,0.08,0.0,0.03,0.22,67.0,12.0,7.8,6.0,Others,E
NCAA Basketball 09,X360,post-2010,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,70.0,23.0,5.6,8.0,EA Canada,E
Kirby's Star Stacker,Others,pre_2000s,Puzzle,Nintendo,0.0,0.0,0.22,0.0,0.22,91.0,16.333333333333332,9.0,1527.0,missing,missing
Shin Megami Tensei: Persona,PSP,post-2010,Role-Playing,Others,0.08,0.0,0.13,0.01,0.22,78.0,30.0,8.0,47.0,Others,T
Kung Fu Panda 2,DS,post-2010,Action,THQ,0.15,0.05,0.0,0.02,0.22,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Lords of the Fallen,Others,post-2010,Role-Playing,Others,0.1,0.1,0.0,0.02,0.22,71.0,13.0,6.7,166.0,Others,M
LEGO The Lord of the Rings,PC,post-2010,Action,Others,0.07,0.13,0.0,0.03,0.22,80.0,6.0,8.2,127.0,Others,E10+
Kidz Bop Dance Party! The Video Game,Wii,post-2010,Misc,Others,0.2,0.0,0.0,0.01,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
Growlanser: Heritage of War,PS2,post-2010,Role-Playing,Others,0.11,0.08,0.0,0.03,0.22,60.0,7.0,7.9,9.0,Others,T
Ben 10 Alien Force: Vilgax Attacks,X360,post-2010,Action,Others,0.11,0.09,0.0,0.02,0.22,61.0,9.0,8.3,4.0,Others,E10+
Imagine: Detective,DS,post-2010,Simulation,Ubisoft,0.14,0.01,0.0,0.06,0.22,82.33333333333333,62.0,7.933333333333333,279.3333333333333,Others,E
Rugby 2004,PS2,post-2010,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22,61.0,13.0,6.8,65.0,Others,E
Disney's Magical Quest Starring Mickey and Minnie,Others,post-2010,Action,Nintendo,0.16,0.06,0.0,0.0,0.22,91.66666666666667,50.666666666666664,8.6,434.6666666666667,missing,missing
The Amazing Spider-Man 2 (2014),Others,post-2010,Action,Activision,0.12,0.08,0.0,0.02,0.22,84.33333333333333,80.33333333333333,6.433333333333334,2833.3333333333335,missing,missing
Senran Kagura 2: Deep Crimson ,Others,post-2010,Action,Others,0.1,0.02,0.08,0.01,0.22,58.0,28.0,6.8,56.0,Others,M
NBA 06,PSP,post-2010,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22,72.0,19.0,5.4,8.0,Others,E
KORG DS-10 Synthesizer,DS,post-2010,Misc,Others,0.19,0.01,0.0,0.02,0.22,82.0,11.0,8.2,13.0,Others,E
Naruto: Ninja Council,Others,post-2010,Action,Others,0.16,0.06,0.0,0.0,0.22,60.0,12.0,7.1,9.0,Others,E10+
DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,post-2010,Adventure,Others,0.0,0.0,0.22,0.0,0.22,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Tropico 3,X360,post-2010,Strategy,Others,0.15,0.02,0.03,0.01,0.22,75.0,33.0,6.6,22.0,Others,T
Wreckless: ThE YaKuza MisSiOns,PS2,post-2010,Racing,Activision,0.11,0.08,0.0,0.03,0.22,60.0,16.0,7.833333333333333,33.666666666666664,Others,T
Deadly Creatures,Wii,post-2010,Action,THQ,0.08,0.12,0.0,0.02,0.22,72.0,45.0,8.8,36.0,Others,T
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,post-2010,Fighting,Namco Bandai Games,0.14,0.06,0.0,0.02,0.22,62.0,11.0,7.3,44.0,Others,T
CSI: Fatal Conspiracy,Wii,post-2010,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Others,M
Jikkyou Powerful Major League,PS2,post-2010,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22,86.66666666666667,63.0,8.5,803.6666666666666,missing,missing
Dead Island,PC,post-2010,Action,Others,0.12,0.07,0.0,0.03,0.22,80.0,24.0,6.8,1428.0,Others,M
NFL 2K3,Others,post-2010,Sports,Sega,0.17,0.04,0.0,0.01,0.22,92.0,24.0,8.3,15.0,Others,E
Saltwater Sportfishing,PS,post-2010,Sports,Others,0.12,0.08,0.0,0.01,0.22,93.66666666666667,49.0,8.766666666666666,762.6666666666666,missing,missing
Hasbro Family Game Night,DS,post-2010,Puzzle,Electronic Arts,0.01,0.19,0.0,0.02,0.22,57.0,6.0,7.699999999999999,8.333333333333334,Electronic Arts,E
Yoshi Touch & Go (JP sales),DS,post-2010,Platform,Nintendo,0.0,0.0,0.22,0.0,0.22,88.33333333333333,62.0,8.299999999999999,385.6666666666667,missing,missing
Samurai Jack: The Amulet of Time,Others,post-2010,Platform,Others,0.16,0.06,0.0,0.0,0.22,63.0,13.0,7.933333333333334,22.333333333333332,Others,T
J-League Winning Eleven 2008: Club Championship,PS2,post-2010,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22,91.0,80.0,8.366666666666667,1774.0,missing,missing
Sports Car GT,PS,pre_2000s,Racing,Electronic Arts,0.12,0.08,0.0,0.01,0.22,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Jackie Chan: Stuntmaster,PS,pre_2000s,Action,Sony Computer Entertainment,0.12,0.08,0.0,0.01,0.22,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Hunted: The Demon's Forge,X360,post-2010,Action,Others,0.13,0.06,0.0,0.02,0.22,61.0,59.0,6.0,116.0,Others,M
Scooby-Doo! Mystery Mayhem,Others,post-2010,Action,THQ,0.17,0.04,0.0,0.01,0.22,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
